label,max,avg,min,count
2018-03-31 22:00:00,62,31.5,1,62
2018-03-31 23:00:00,3662,1862.5,63,3600
2018-04-01 00:00:00,7262,5462.5,3663,3600
2018-04-01 01:00:00,10862,9062.5,7263,3600
2018-04-01 02:00:00,14462,12662.5,10863,3600
2018-04-01 03:00:00,18062,16262.5,14463,3600
2018-04-01 04:00:00,21662,19862.5,18063,3600
2018-04-01 05:00:00,25262,23462.5,21663,3600
2018-04-01 06:00:00,28862,27062.5,25263,3600
2018-04-01 07:00:00,32462,30662.5,28863,3600
2018-04-01 08:00:00,36062,34262.5,32463,3600
2018-04-01 09:00:00,39662,37862.5,36063,3600
2018-04-01 10:00:00,43262,41462.5,39663,3600
2018-04-01 11:00:00,46862,45062.5,43263,3600
2018-04-01 12:00:00,50462,48662.5,46863,3600
2018-04-01 13:00:00,54062,52262.5,50463,3600
2018-04-01 14:00:00,57662,55862.5,54063,3600
2018-04-01 15:00:00,61262,59462.5,57663,3600
2018-04-01 16:00:00,64862,63062.5,61263,3600
2018-04-01 17:00:00,68462,66662.5,64863,3600
2018-04-01 18:00:00,72062,70262.5,68463,3600
2018-04-01 19:00:00,75662,73862.5,72063,3600
2018-04-01 20:00:00,79262,77462.5,75663,3600
2018-04-01 21:00:00,82862,81062.5,79263,3600
