label,max,avg,min,count
2018-03-31 22:58:00,2,1.5,1,2
2018-03-31 22:59:00,62,32.5,3,60
2018-03-31 23:00:00,122,92.5,63,60
2018-03-31 23:01:00,182,152.5,123,60
2018-03-31 23:02:00,242,212.5,183,60
2018-03-31 23:03:00,302,272.5,243,60
2018-03-31 23:04:00,362,332.5,303,60
2018-03-31 23:05:00,422,392.5,363,60
2018-03-31 23:06:00,482,452.5,423,60
2018-03-31 23:07:00,542,512.5,483,60
2018-03-31 23:08:00,602,572.5,543,60
2018-03-31 23:09:00,662,632.5,603,60
2018-03-31 23:10:00,722,692.5,663,60
2018-03-31 23:11:00,782,752.5,723,60
2018-03-31 23:12:00,842,812.5,783,60
2018-03-31 23:13:00,902,872.5,843,60
2018-03-31 23:14:00,962,932.5,903,60
2018-03-31 23:15:00,1022,992.5,963,60
2018-03-31 23:16:00,1082,1052.5,1023,60
2018-03-31 23:17:00,1142,1112.5,1083,60
2018-03-31 23:18:00,1202,1172.5,1143,60
2018-03-31 23:19:00,1262,1232.5,1203,60
2018-03-31 23:20:00,1322,1292.5,1263,60
2018-03-31 23:21:00,1382,1352.5,1323,60
2018-03-31 23:22:00,1442,1412.5,1383,60
2018-03-31 23:23:00,1502,1472.5,1443,60
2018-03-31 23:24:00,1562,1532.5,1503,60
2018-03-31 23:25:00,1622,1592.5,1563,60
2018-03-31 23:26:00,1682,1652.5,1623,60
2018-03-31 23:27:00,1742,1712.5,1683,60
2018-03-31 23:28:00,1802,1772.5,1743,60
2018-03-31 23:29:00,1862,1832.5,1803,60
2018-03-31 23:30:00,1922,1892.5,1863,60
2018-03-31 23:31:00,1982,1952.5,1923,60
2018-03-31 23:32:00,2042,2012.5,1983,60
2018-03-31 23:33:00,2102,2072.5,2043,60
2018-03-31 23:34:00,2162,2132.5,2103,60
2018-03-31 23:35:00,2222,2192.5,2163,60
2018-03-31 23:36:00,2282,2252.5,2223,60
2018-03-31 23:37:00,2342,2312.5,2283,60
2018-03-31 23:38:00,2402,2372.5,2343,60
2018-03-31 23:39:00,2462,2432.5,2403,60
2018-03-31 23:40:00,2522,2492.5,2463,60
2018-03-31 23:41:00,2582,2552.5,2523,60
2018-03-31 23:42:00,2642,2612.5,2583,60
2018-03-31 23:43:00,2702,2672.5,2643,60
2018-03-31 23:44:00,2762,2732.5,2703,60
2018-03-31 23:45:00,2822,2792.5,2763,60
2018-03-31 23:46:00,2882,2852.5,2823,60
2018-03-31 23:47:00,2942,2912.5,2883,60
2018-03-31 23:48:00,3002,2972.5,2943,60
2018-03-31 23:49:00,3062,3032.5,3003,60
2018-03-31 23:50:00,3122,3092.5,3063,60
2018-03-31 23:51:00,3182,3152.5,3123,60
2018-03-31 23:52:00,3242,3212.5,3183,60
2018-03-31 23:53:00,3302,3272.5,3243,60
2018-03-31 23:54:00,3362,3332.5,3303,60
2018-03-31 23:55:00,3422,3392.5,3363,60
2018-03-31 23:56:00,3482,3452.5,3423,60
2018-03-31 23:57:00,3542,3512.5,3483,60
2018-03-31 23:58:00,3602,3572.5,3543,60
2018-03-31 23:59:00,3662,3632.5,3603,60
2018-04-01 00:00:00,3722,3692.5,3663,60
2018-04-01 00:01:00,3782,3752.5,3723,60
2018-04-01 00:02:00,3842,3812.5,3783,60
2018-04-01 00:03:00,3902,3872.5,3843,60
2018-04-01 00:04:00,3962,3932.5,3903,60
2018-04-01 00:05:00,4022,3992.5,3963,60
2018-04-01 00:06:00,4082,4052.5,4023,60
2018-04-01 00:07:00,4142,4112.5,4083,60
2018-04-01 00:08:00,4202,4172.5,4143,60
2018-04-01 00:09:00,4262,4232.5,4203,60
2018-04-01 00:10:00,4322,4292.5,4263,60
2018-04-01 00:11:00,4382,4352.5,4323,60
2018-04-01 00:12:00,4442,4412.5,4383,60
2018-04-01 00:13:00,4502,4472.5,4443,60
2018-04-01 00:14:00,4562,4532.5,4503,60
2018-04-01 00:15:00,4622,4592.5,4563,60
2018-04-01 00:16:00,4682,4652.5,4623,60
2018-04-01 00:17:00,4742,4712.5,4683,60
2018-04-01 00:18:00,4802,4772.5,4743,60
2018-04-01 00:19:00,4862,4832.5,4803,60
2018-04-01 00:20:00,4922,4892.5,4863,60
2018-04-01 00:21:00,4982,4952.5,4923,60
2018-04-01 00:22:00,5042,5012.5,4983,60
2018-04-01 00:23:00,5102,5072.5,5043,60
2018-04-01 00:24:00,5162,5132.5,5103,60
2018-04-01 00:25:00,5222,5192.5,5163,60
2018-04-01 00:26:00,5282,5252.5,5223,60
2018-04-01 00:27:00,5342,5312.5,5283,60
2018-04-01 00:28:00,5402,5372.5,5343,60
